Round,Rank,Value,Name,Team,Pos,Inj,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
1,1,0.689069251,Kevin Durant,OKC,SF,Off Injury Report - left knee injury management,78,38.96153846,27.70512821,1.858974359,6.833333333,2.743589744,1.128205128,0.974358974,0.462890625,19.69230769,0.88,8.653846154,2.794871795,2.79385876,1.353613555,0.48490137,-0.168861877,0.369316178,0.517347139,-0.23300233,2.354151534,-1.269701067
1,2,0.62197039,Chris Paul,NOR,PG,,80,36.0625,15.85,0.8875,4.0875,9.775,2.3375,0.0625,0.462863294,11.6125,0.877604167,4.8,2.2125,0.326279664,0.03146262,-0.56827519,2.859696013,3.368968082,-1.070598652,-0.130170688,1.273568357,-0.493196693
1,3,0.596918859,LeBron James,MIA,SF,,79,38.78481013,26.72151899,1.164556962,7.46835443,7.012658228,1.569620253,0.620253165,0.510781671,18.78481013,0.7586727,8.392405063,3.594936709,2.589125964,0.408529825,0.728466529,1.669904539,1.464244926,-0.099306144,1.552671996,-0.604901737,-2.336466165
1,4,0.514279958,Kevin Love,MIN,PF/C,Questionable - low back soreness,73,35.80821918,20.21917808,1.205479452,15.23287671,2.506849315,0.616438356,0.369863014,0.469785575,14.05479452,0.849699399,6.835616438,2.123287671,1.235699817,0.464224253,3.706583505,-0.27083034,-0.900119596,-0.535345047,0.030283258,1.272269371,-0.374245597
1,5,0.513407313,Pau Gasol,LAL,PF/C,,82,37.08536585,18.79268293,0.012195122,10.18292683,3.329268293,0.585365854,1.585365854,0.529464286,13.65853659,0.823255814,5.243902439,1.719512195,0.938782772,-1.159804193,1.769652819,0.08340066,-0.977194835,1.581377685,1.63738933,0.582933883,0.1641277
1,6,0.478243875,Dirk Nowitzki,DAL,PF,,73,34.31506849,23.02739726,0.904109589,7.02739726,2.602739726,0.506849315,0.630136986,0.517387617,16.15068493,0.891647856,6.068493151,1.876712329,1.820215043,0.054067831,0.55933545,-0.229528574,-1.171954848,-0.082094082,1.548024586,1.851604282,-0.045474812
1,7,0.447983363,Dwyane Wade,MIA,PG/SG,,76,37.13157895,25.53947368,0.828947368,6.381578947,4.552631579,1.473684211,1.144736842,0.5,18.21052632,0.757668712,8.578947368,3.118421053,2.343089799,-0.048225965,0.31162897,0.610325757,1.226275892,0.814049618,1.118608221,-0.642797139,-1.701104881
1,8,0.402144896,Amar'e Stoudemire,NYK,PF/C,,78,36.80769231,25.26923077,0.128205128,8.166666667,2.602564103,0.91025641,1.91025641,0.501685772,19.01282051,0.792294807,7.653846154,3.205128205,2.286840237,-1.00191764,0.996307286,-0.229604218,-0.171304891,2.147154418,1.230251732,0.178292849,-1.816715705
1,9,0.390101936,Stephen Curry,GSW,PG,,74,33.67567568,18.55405405,2.040540541,3.864864865,5.810810811,1.472972973,0.27027027,0.480038023,14.21621622,0.933920705,3.067567568,3.054054054,0.889113498,1.600720331,-0.653667884,1.152246723,1.224511669,-0.708779626,0.317831412,1.30422256,-1.615281261
1,10,0.378350952,Rudy Gay,MEM,SF/PF,,54,39.75925926,19.75925926,1.055555556,6.203703704,2.833333333,1.685185185,1.074074074,0.470655926,16.09259259,0.80334728,4.425925926,2.481481481,1.139970268,0.260181791,0.243404131,-0.130207661,1.750903355,0.690994794,0.059518086,0.242236467,-0.851842662
1,11,0.377175587,Kevin Garnett,BOS,PF,,71,31.23943662,14.87323944,0.014084507,8.887323944,2.436619718,1.366197183,0.774647887,0.527980535,11.57746479,0.861751152,3.056338028,1.61971831,0.122972377,-1.15723279,1.272718583,-0.301079521,0.959654678,0.16956268,1.356952079,0.673844505,0.297187695
1,12,0.365898301,LaMarcus Aldridge,POR,PF/C,,81,39.69135802,21.83950617,0.049382716,8.75308642,2.098765432,1.024691358,1.160493827,0.499646643,17.4691358,0.790540541,5.481481481,1.888888889,1.57296211,-1.10919286,1.221231185,-0.446599584,0.112550616,0.841489429,1.061673929,0.100680288,-0.061710407
2,13,0.365552352,Al Horford,ATL,PF/C,Out,77,35.14285714,15.2987013,0.025974026,9.324675325,3.441558442,0.753246753,1.038961039,0.557003257,11.96103896,0.79787234,2.441558442,1.545454545,0.211529901,-1.141051469,1.440466646,0.131766095,-0.560766823,0.629847623,2.085837099,0.096134947,0.396207151
2,14,0.353870309,Monta Ellis,GSW,PG/SG,,80,40.35,24.1125,1.7125,3.5125,5.6125,2.1,0.2875,0.450651769,20.1375,0.788863109,5.3875,3.15,2.046073151,1.154265822,-0.788818991,1.066830605,2.779850122,-0.678775121,-0.72472055,0.073338359,-1.743210613
2,15,0.350720359,Al Jefferson,UTA,PF/C,,82,35.8902439,18.63414634,0,9.682926829,1.829268293,0.56097561,1.865853659,0.495830174,16.08536585,0.761245675,3.524390244,1.280487805,0.905784263,-1.176401432,1.5778756,-0.562676965,-1.037694754,2.069829783,0.858033618,-0.227766958,0.749500072
2,16,0.349601773,Paul Pierce,BOS,SG/SF,,80,34.7375,18.8875,1.3875,5.375,3.25,1,0.65,0.496571988,12.7625,0.859688196,5.6125,2.15,0.95851842,0.711949409,-0.074448852,0.049258346,0.051303784,-0.047503877,0.70340862,1.203792541,-0.409862432
2,17,0.343502306,Derrick Rose,CHI,PG,,81,37.33333333,24.96296296,1.580246914,4.049382716,7.691358025,1.049382716,0.62962963,0.445979899,19.65432099,0.857142857,6.827160494,3.419753086,2.223092294,0.974272866,-0.582895243,1.962233041,0.173797447,-0.082977613,-0.88794555,1.414828911,-2.1028854
2,18,0.320123468,Manu Ginobili,SAS,SG,,80,30.3375,17.4125,1.925,3.6875,4.9125,1.5375,0.35,0.433202358,12.725,0.870731707,5.125,2.175,0.651505361,1.443472708,-0.721696965,0.765327713,1.384570745,-0.569935252,-0.8887763,1.259839337,-0.443196136
2,19,0.313552281,Dorell Wright,GSW,SG/SF,,82,38.3902439,16.3902439,2.365853659,5.256097561,2.963414634,1.5,0.768292683,0.423211169,13.97560976,0.789473684,2.780487805,1.62195122,0.438728432,2.043462889,-0.12005441,-0.074179249,1.29155212,0.158495486,-1.253362217,0.043117029,0.294210449
2,20,0.291992343,Elton Brand,PHI,PF/C,,81,34.64197531,15.02469136,0,8.345679012,1.481481481,1.135802469,1.320987654,0.511722732,12.11111111,0.78021978,3.37037037,1.24691358,0.154496254,-1.176401432,1.064968266,-0.712475149,0.388161357,1.120979465,1.030330341,-0.036394221,0.794266204
2,21,0.289336246,Carmelo Anthony,NYK,SF,,77,35.74025974,25.58441558,1.233766234,7.311688312,2.87012987,0.883116883,0.597402597,0.45539281,19.50649351,0.838016529,7.857142857,2.675324675,2.352444206,0.502721815,0.668376544,-0.114358715,-0.238624398,-0.139098988,-0.519039334,1.201908219,-1.110303132
2,22,0.287103935,Kevin Martin,HOU,SG,,80,32.5875,23.45,2.2,3.225,2.475,1,0.1875,0.436464088,15.8375,0.887892377,8.3625,2.3,1.908177456,1.817740442,-0.899090892,-0.284548427,0.051303784,-0.852918913,-1.008983173,2.462119795,-0.609864659
2,23,0.28700986,Paul Millsap,UTA,PF,,76,34.26315789,17.30263158,0.118421053,7.618421053,2.460526316,1.342105263,0.907894737,0.530839232,13.01315789,0.75739645,4.447368421,1.907894737,0.62863686,-1.015233508,0.786025248,-0.290782509,0.899894751,0.401603796,1.59620955,-0.336213627,-0.08705182
2,24,0.274634547,Deron Williams,BKN,PG,,65,37.84615385,20.13846154,1.615384615,4,10.24615385,1.215384615,0.230769231,0.439425051,14.98461538,0.844660194,6.338461538,3.538461538,1.218899116,1.02209435,-0.601836203,3.062630652,0.585564606,-0.777568234,-0.866120857,1.08921259,-2.261165099
3,25,0.250992551,Josh Smith,ATL,PF,,77,34.36363636,16.54545455,0.662337662,8.532467532,3.311688312,1.272727273,1.558441558,0.477425552,13.51948052,0.724683544,4.103896104,2.558441558,0.471034665,-0.274977373,1.136611832,0.075828638,0.727802877,1.534490696,0.23354354,-0.690944675,-0.954457241
3,26,0.237177632,Russell Westbrook,OKC,PG,,82,34.7804878,21.86585366,0.414634146,4.62195122,8.170731707,1.890243902,0.353658537,0.441726619,16.95121951,0.841521395,7.695121951,3.853658537,1.578446193,-0.612095314,-0.363284053,2.168708115,2.259550821,-0.563564137,-0.905368624,1.253638135,-2.681432443
3,27,0.235992996,Ray Allen,BOS,SG,,80,36.125,16.5125,2.1,3.425,2.725,0.975,0.2125,0.490797546,12.225,0.881278539,2.7375,1.4625,0.46417536,1.681643084,-0.822380005,-0.176868822,-0.010708632,-0.809382965,0.535382387,0.755262118,0.506814443
3,28,0.211247782,Kobe Bryant,LAL,SG,,82,33.93902439,25.34146341,1.402439024,5.109756098,4.731707317,1.207317073,0.146341463,0.451494814,19.98780488,0.828473413,7.109756098,2.963414634,2.301875061,0.732281027,-0.176184327,0.687456975,0.565553094,-0.924593949,-0.685961573,0.895231084,-1.494427355
3,29,0.197387955,Dwight Howard,ORL,C,,78,37.6025641,22.87179487,0,14.08974359,1.384615385,1.371794872,2.384615385,0.592911877,13.38461538,0.596069869,11.74358974,3.576923077,1.78782727,-1.176401432,3.268129723,-0.754197161,0.973539726,2.973221122,3.27959622,-6.262776156,-2.312447721
3,30,0.194637729,David West,NOR,PF,,70,35.04285714,18.88571429,0.028571429,7.557142857,2.342857143,0.957142857,0.885714286,0.507692308,14.85714286,0.80733945,4.671428571,2.028571429,0.958146733,-1.137516472,0.762521724,-0.341464789,-0.055003216,0.362977917,1.14151839,0.308515137,-0.247955867
3,31,0.192787078,Zach Randolph,MEM,PF/C,,75,36.18666667,19.94666667,0.106666667,12.18666667,2.173333333,0.84,0.333333333,0.502953586,15.8,0.755102041,5.226666667,2.013333333,1.178978079,-1.031230917,2.538196125,-0.414481815,-0.345575683,-0.598959217,1.065099017,-0.429303709,-0.22763818
3,32,0.183953967,Danny Granger,IND,SF/PF,,79,34.93670886,20.49367089,1.974683544,5.35443038,2.556962025,1.126582278,0.772151899,0.424483307,15.92405063,0.847639485,5.898734177,2.607594937,1.292833969,1.511090699,-0.082338421,-0.249245873,0.365290705,0.165216071,-1.390824071,1.063558436,-1.019995809
3,33,0.179610347,Joakim Noah,CHI,PF/C,,48,32.75,11.6875,0,10.375,2.229166667,1,1.5,0.524875622,8.375,0.739361702,3.916666667,1.875,-0.540121594,-1.176401432,1.843323336,-0.390433371,0.051303784,1.432718351,0.935620153,-0.496324422,-0.043191682
3,34,0.176400305,Eric Gordon,LAC,SG,,56,37.78571429,22.26785714,1.892857143,2.928571429,4.357142857,1.267857143,0.303571429,0.449947313,16.94642857,0.824712644,6.214285714,2.696428571,1.662120985,1.399727128,-1.012787386,0.526125164,0.715722536,-0.650787726,-0.630385946,0.716309966,-1.138441974
3,35,0.174979787,Chauncey Billups,NYK,PG,,72,32.06944444,16.77777778,2.027777778,2.625,5.375,0.986111111,0.194444444,0.426952141,11.02777778,0.91646778,5.819444444,2.458333333,0.519391456,1.583350548,-1.129223555,0.964534981,0.016852442,-0.840825594,-0.90360195,2.185317874,-0.820978121
3,36,0.173541605,Nene Hilario,DEN,PF/C,,75,30.6,14.54666667,0.013333333,7.613333333,1.986666667,1.12,0.986666667,0.614678899,8.72,0.711442786,5.36,1.786666667,0.054998069,-1.158255117,0.784073831,-0.494882586,0.348963385,0.538780221,2.517612141,-1.104002907,0.074587407
4,37,0.161380476,Tim Duncan,SAS,PF/C,,76,28.35526316,13.44736842,0,8.921052632,2.671052632,0.657894737,1.921052632,0.5,11.02631579,0.715953307,3.381578947,1.605263158,-0.173814756,-1.176401432,1.285655371,-0.200104947,-0.797287182,2.165955367,0.684861197,-0.652900779,0.316461446
4,38,0.153423363,Channing Frye,PHO,PF/C,,77,32.97402597,12.67532468,2.220779221,6.662337662,1.246753247,0.597402597,1.025974026,0.431845597,10.76623377,0.831775701,1.38961039,0.948051948,-0.334511374,1.846020413,0.419315221,-0.813576923,-0.947337732,0.607231547,-0.777824507,0.188740808,1.192752817
4,39,0.136487579,Gerald Wallace,POR,SF/PF,,71,38.02816901,15.67605634,0.873239437,8.028169014,2.436619718,1.478873239,0.887323944,0.453584019,11.98591549,0.745989305,5.267605634,2.14084507,0.290074257,0.01205437,0.943185897,-0.301079521,1.239147261,0.365781036,-0.35429866,-0.568820704,-0.397655723
4,40,0.132980898,Serge Ibaka,OKC,C,,82,27.02439024,9.829268293,0,7.573170732,0.268292683,0.37804878,2.426829268,0.542207792,7.512195122,0.754098361,2.231707317,0.865853659,-0.926902204,-1.176401432,0.768669287,-1.235017908,-1.491444145,3.046733979,1.097962672,-0.189123922,1.302351757
4,41,0.120765468,Chris Bosh,MIA,PF/C,,77,36.38961039,18.67532468,0.077922078,8.324675325,1.87012987,0.766233766,0.623376623,0.496212121,13.71428571,0.815286624,6.116883117,1.792207792,0.914355304,-1.070351542,1.056912208,-0.545077131,-0.52855258,-0.093866835,0.744706208,0.54156442,0.067199158
4,42,0.113658686,David Lee,GSW,PF/C,,73,36.1369863,16.47945205,0.01369863,9.780821918,3.178082192,1.04109589,0.424657534,0.507157464,13.39726027,0.786516854,3.657534247,2.342465753,0.457296613,-1.157757958,1.615423696,0.018282022,0.153242004,-0.439923791,1.017102472,0.025749414,-0.666486294
4,43,0.113315851,Wilson Chandler,DEN,SF/PF,,72,33.29166667,15.27777778,1.555555556,5.666666667,1.666666667,0.666666667,1.277777778,0.450157398,13.23611111,0.807453416,2.236111111,1.444444444,0.207174786,0.94066858,0.037421193,-0.63271248,-0.775528439,1.045732147,-0.482691145,0.148889232,0.530888785
4,44,0.111296229,Raymond Felton,DEN,PG/SG,,75,36.57333333,15.52,1.546666667,3.586666667,8.32,1.666666667,0.146666667,0.424875622,13.4,0.804979253,3.213333333,2.946666667,0.257591997,0.928571037,-0.760372037,2.233000717,1.704968232,-0.924027628,-1.156969007,0.190999232,-1.472096483
4,45,0.095898486,Marc Gasol,MEM,C,,81,31.90123457,11.74074074,0.037037037,7.012345679,2.469135802,0.913580247,1.679012346,0.526772793,8.530864198,0.74829932,3.62962963,1.802469136,-0.529039829,-1.125995003,0.553562349,-0.287074244,-0.163060125,1.744457237,0.984592086,-0.367873306,0.053517214
4,46,0.093245905,Kyle Lowry,HOU,PG,,75,34.17333333,13.48,1.72,4.133333333,6.666666667,1.36,0.306666667,0.42645241,10.78666667,0.764940239,3.346666667,2.106666667,-0.167022674,1.164473124,-0.550695611,1.520879602,0.944282586,-0.645397561,-0.894056884,-0.181165422,-0.352084011
4,47,0.091191611,Jason Kidd,DAL,PG,,80,33.125,7.875,1.6625,4.4,8.1875,1.6875,0.3625,0.360738255,7.45,0.87012987,0.9625,2.2375,-1.333672295,1.086217143,-0.448414428,2.175930527,1.756645246,-0.548167278,-1.577003691,0.235719674,-0.526530398
4,48,0.089644565,Lamar Odom,LAL,SF/PF,,82,32.14634146,14.3902439,0.829268293,8.658536585,3.036585366,0.573170732,0.743902439,0.529675252,10.8902439,0.674796748,3,1.695121951,0.022439539,-0.047789195,1.184966176,-0.042663267,-1.007444795,0.11602139,1.313936873,-0.929314024,0.196648387
5,49,0.08405235,Jason Richardson,ORL,SG/SF,,80,33.9625,15.5875,2.3625,4.125,1.8375,1.1625,0.1625,0.44686907,13.175,0.729559748,1.9875,1.1875,0.271641747,2.038898649,-0.553891898,-0.559131417,0.454384493,-0.896454861,-0.565808301,-0.306652452,0.873485193
5,50,0.080160466,Steve Nash,PHO,PG,,75,33.22666667,14.72,1.08,3.48,11.38666667,0.64,0.066666667,0.493184634,10.76,0.911646586,3.32,3.52,0.09107644,0.293450034,-0.801284511,3.553870527,-0.841675017,-1.063342661,0.524169414,1.20172941,-2.23654944
5,51,0.073182109,Beno Udrih,SAC,PG,,79,34.59493671,13.74683544,0.82278481,3.35443038,4.886075949,1.189873418,0.113924051,0.5,10.43037975,0.864035088,2.886075949,1.784810127,-0.111482358,-0.056613044,-0.849447296,0.753946388,0.522284165,-0.981046861,0.648881533,0.655053633,0.077062822
5,52,0.071565813,Danilo Gallinari,DEN,SF,Out for season - acl (0g) - 7/9/2023,62,33.96774194,15.64516129,1.661290323,4.935483871,1.677419355,0.822580645,0.435483871,0.4140625,10.32258065,0.861892583,6.306451613,1.338709677,0.283643624,1.084570804,-0.243027213,-0.628081099,-0.388784335,-0.421070398,-1.106977121,1.39194801,0.671870044
5,53,0.069528318,Andre Iguodala,PHI,SG/SF,Injured - conditioning (0g) - 1/4/2023,67,36.8358209,14.10447761,0.910447761,5.776119403,6.298507463,1.507462687,0.567164179,0.445322793,11.32835821,0.693333333,4.47761194,2.059701493,-0.037041127,0.062693916,0.079402275,1.362306653,1.310063289,-0.191757316,-0.518362481,-1.152087268,-0.289463081
5,54,0.048595989,Andrew Bynum,LAL,C,,54,27.7962963,11.33333333,0,9.407407407,1.351851852,0.351851852,1.962962963,0.573849879,7.648148148,0.660287081,3.87037037,1.388888889,-0.613839418,-1.176401432,1.472198903,-0.768309018,-1.556425539,2.238939607,1.59471609,-1.358478972,0.604963684
5,55,0.047955216,Luol Deng,CHI,SF,,82,39.12195122,17.3902439,1.402439024,5.792682927,2.792682927,0.951219512,0.585365854,0.460869565,14.02439024,0.751497006,4.073170732,1.890243902,0.646872878,0.732281027,0.085755288,-0.147716539,-0.069696053,-0.16006023,-0.216322228,-0.37600009,-0.063517112
5,56,0.041868496,Wesley Matthews,POR,SG,Off Injury Report - covid protocols,82,33.67073171,15.85365854,1.87804878,3.146341463,2,1.243902439,0.109756098,0.449438202,11.93902439,0.844444444,3.841463415,1.682926829,0.327041168,1.379573339,-0.929260723,-0.489139674,0.656302972,-0.988305092,-0.450445512,0.658141255,0.212908731
5,57,0.040501293,Brook Lopez,BKN,C,,82,35.2195122,20.40243902,0,5.951219512,1.573170732,0.585365854,1.475609756,0.49197861,15.96341463,0.787321063,5.963414634,2.146341463,1.273844564,-1.176401432,0.146562699,-0.672982901,-0.977194835,1.390244255,0.730427219,0.054996398,-0.404984329
5,58,0.027878613,Jrue Holiday,PHI,PG,Questionable - noncovid illness,82,35.42682927,13.96341463,0.987804878,4.048780488,6.463414634,1.463414634,0.353658537,0.446446446,12.18292683,0.822966507,2.548780488,2.658536585,-0.066402602,0.167974909,-0.583126231,1.433335209,1.200802242,-0.563564137,-0.531914763,0.281721654,-1.087918763
5,59,0.027752651,Mike Conley,MEM,PG,Off Injury Report,81,35.40740741,13.64197531,0.987654321,3.049382716,6.49382716,1.777777778,0.222222222,0.443277311,11.75308642,0.732793522,3.049382716,2.160493827,-0.133308413,0.167770004,-0.966449681,1.446434444,1.980578973,-0.792452319,-0.585923234,-0.443021561,-0.423854357
5,60,0.027219919,Andrei Kirilenko,UTA,SF/PF,,64,31.1875,11.71875,0.5625,5.09375,3,1.265625,1.1875,0.466789668,8.46875,0.77037037,4.21875,1.828125,-0.53361708,-0.410853794,-0.182323537,-0.058421258,0.710185713,0.888519002,-0.024175503,-0.163643283,0.019309014
6,61,0.021353634,Amir Johnson,TOR,PF,,72,25.70833333,9.555555556,0,6.402777778,1.125,0.736111111,1.222222222,0.567676768,6.875,0.7875,2.222222222,0.958333333,-0.98387399,-1.176401432,0.319759876,-0.866018289,-0.603271726,0.948985596,1.351750712,0.022207805,1.179044151
6,62,0.014563525,Rajon Rondo,BOS,PG,,68,37.10294118,10.57352941,0.147058824,4.338235294,11.17647059,2.176470588,0.161764706,0.474626866,9.852941176,0.565891473,1.897058824,3.441176471,-0.771988385,-0.976258258,-0.472104555,3.463335205,2.969535162,-0.89773533,0.121019939,-1.173281824,-2.131450231
6,63,0.011848119,Carlos Delfino,MIL,SG/SF,,49,32.51020408,11.53061224,2.142857143,4.081632653,2.285714286,1.551020408,0.163265306,0.389863548,10.46938776,0.8,1.530612245,1.163265306,-0.572776909,1.739970523,-0.570525637,-0.36607727,1.418108072,-0.895122128,-1.622594164,0.069852106,0.905798478
6,64,0.008491775,Nicolas Batum,POR,SG/SF,,80,31.5625,12.375,1.475,4.5125,1.5375,0.85,0.625,0.455334988,10.075,0.841463415,2.05,1.0375,-0.397022287,0.831034597,-0.405264554,-0.688346942,-0.320770716,-0.091039825,-0.259972222,0.334320503,1.07348742
6,65,0.007718993,Andrew Bogut,MIL,C,,65,35.4,12.76923077,0,11.07692308,2.015384615,0.723076923,2.584615385,0.494609164,11.41538462,0.442396313,3.338461538,1.923076923,-0.314965342,-1.176401432,2.112549047,-0.482513237,-0.635602986,3.321508705,0.586997715,-3.234806573,-0.10729496
6,66,0.00320914,Tyson Chandler,DAL,C,,74,27.78378378,10.10810811,0,9.364864865,0.432432432,0.486486486,1.081081081,0.653562654,5.5,0.73220339,3.986486486,1.189189189,-0.868863245,-1.176401432,1.455881522,-1.164319895,-1.222464776,0.703197062,2.01674584,-0.586125735,0.871232915
6,67,0.001677771,JaVale McGee,WAS,PF/C,,79,27.75949367,10.10126582,0,8.025316456,0.481012658,0.518987342,2.443037975,0.549668874,7.64556962,0.585152838,2.898734177,1.291139241,-0.870287428,-1.176401432,0.942091786,-1.143395497,-1.141846513,3.074960435,1.229607307,-1.634926715,0.735298
6,68,-0.002016721,Anderson Varejao,CLE,PF/C,,31,32.03225806,9.096774194,0,9.709677419,1.451612903,0.870967742,1.225806452,0.527777778,6.967741935,0.666666667,2.612903226,1.290322581,-1.079366782,-1.176401432,1.588135907,-0.725340096,-0.268760302,0.955227309,0.821501048,-0.869533038,0.736386892
6,69,-0.002880036,Tony Parker,SAS,PG,,78,32.41025641,17.53846154,0.320512821,3.051282051,6.564102564,1.141025641,0.038461538,0.519176801,13.70512821,0.768976898,3.884615385,2.564102564,0.677723556,-0.740191951,-0.965721182,1.476703354,0.401117418,-1.112460141,1.364875314,-0.165961362,-0.962005333
6,70,-0.006532342,Arron Afflalo,DEN,SG,,69,33.72463768,12.5942029,1.52173913,3.637681159,2.434782609,0.492753623,0.449275362,0.498407643,9.101449275,0.846625767,2.362318841,1.028985507,-0.351396421,0.894645319,-0.740805202,-0.301870798,-1.206919165,-0.397053372,0.540067662,0.419700696,1.084840203
6,71,-0.011247307,Antawn Jamison,CLE,SF/PF,,56,32.875,18.03571429,1.625,6.696428571,1.660714286,0.910714286,0.535714286,0.426940639,15.64285714,0.730769231,4.178571429,1.375,0.781223954,1.035180634,0.432390941,-0.63527628,-0.170169133,-0.246525353,-1.290123328,-0.631409602,0.623482409
6,72,-0.019939351,Ryan Anderson,ORL,PF/C,,62,22.88709677,11.01612903,2.161290323,5.725806452,0.838709677,0.483870968,0.612903226,0.434034417,8.435483871,0.811965812,1.887096774,0.774193548,-0.679863732,1.765057594,0.06010452,-0.989328803,-1.228952562,-0.112105606,-0.568880113,0.149947947,1.424566598
7,73,-0.022838311,Luis Scola,HOU,PF/C,,74,32.58108108,18.27027027,0,8.189189189,2.5,0.648648649,0.594594595,0.503985828,15.25675676,0.737931034,3.918918919,1.972972973,0.830045479,-1.176401432,1.0049459,-0.273780466,-0.820222073,-0.143988951,1.060192862,-0.51251235,-0.173823767
7,74,-0.028710868,Andray Blatche,WAS,PF/C,,64,33.96875,16.8125,0.0625,8.21875,2.25,1.53125,0.796875,0.445141066,14.953125,0.777385159,4.421875,2.6875,0.526618694,-1.091340583,1.01628408,-0.38146007,1.369067641,0.208269817,-0.695709558,-0.083590753,-1.126537079
7,75,-0.046434791,Luke Ridnour,MIN,PG,,71,30.43661972,11.83098592,1.14084507,2.802816901,5.450704225,1.253521127,0.14084507,0.468428781,9.591549296,0.883211679,1.929577465,2.225352113,-0.510255797,0.376258567,-1.061021093,0.997142185,0.680162095,-0.934165576,0.001083735,0.5432158,-0.510333034
7,76,-0.058079057,Marcin Gortat,PHO,C,,80,25.4375,10.2125,0.0125,7.8875,0.875,0.45,1.1375,0.56053068,7.5375,0.725388601,2.4125,1.0125,-0.847134652,-1.159389262,0.889231672,-0.973697893,-1.312969385,0.801447106,1.373946447,-0.400966668,1.106821124
7,77,-0.058442995,Jason Terry,DAL,PG/SG,,82,31.2804878,15.76829268,1.548780488,1.865853659,4.073170732,1.134146341,0.158536585,0.45096242,13.30487805,0.85046729,2.609756098,2.036585366,0.30927274,0.931447892,-1.420397503,0.40381314,0.384053338,-0.903356901,-0.464176909,0.491998487,-0.258641236
