Round,Rank,Value,Name,Team,Pos,Inj,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
1,1,1.082111795,James Harden,HOU,PG/SG,,78,36.75299145,36.12820513,4.846153846,6.615384615,7.512820513,2.051282051,0.730769231,0.441592457,24.47435897,0.878787879,11,4.961538462,3.635580128,3.431316743,0.188478301,1.838295033,2.553958456,0.054742583,-1.318592775,3.054387601,-3.699159918
1,2,1.045817004,Anthony Davis,NOR,PF/C,,56,33.03482143,25.92857143,0.857142857,12.03571429,3.892857143,1.571428571,2.410714286,0.516569201,18.32142857,0.794457275,7.732142857,2.017857143,1.837565839,-0.569156822,2.186081983,0.19431363,1.373689165,3.218012477,1.146416349,0.239389052,-0.213958635
1,3,0.784704285,Paul George,OKC,SG/SF/PF,,77,36.9017316,28.03896104,3.792207792,8.142857143,4.12987013,2.220779221,0.441558442,0.438042131,20.96103896,0.840445269,7,2.662337662,2.209590049,2.374342135,0.751411726,0.301951444,2.970861349,-0.489829859,-1.240273899,1.16128349,-0.976997867
1,4,0.758396775,Stephen Curry,GSW,PG/SG,,69,33.78719807,27.26086957,5.130434783,5.347826087,5.231884058,1.333333333,0.362318841,0.471641791,19.42028986,0.916376307,4.15942029,2.782608696,2.072426341,3.716414572,-0.27866664,0.80242347,0.788059364,-0.639034885,-0.137011951,1.62035468,-1.119393974
1,5,0.68226118,Karl-Anthony Towns,MIN,C,Injured - calf strain (0g) - 1/13/2023,77,33.04805195,24.41558442,1.844155844,12.38961039,3.363636364,0.883116883,1.623376623,0.517870722,17.07792208,0.835555556,5.844155844,3.12987013,1.570853097,0.420692384,2.316506552,-0.046028337,-0.31931335,1.735486893,1.105002713,0.887688332,-1.530537663
1,6,0.671908525,Giannis Antetokounmpo,MIL,SF/PF,,72,32.75532407,27.69444444,0.722222222,12.5,5.888888889,1.263888889,1.527777778,0.577724359,17.33333333,0.728862974,9.527777778,3.708333333,2.148857892,-0.704465157,2.357189445,1.100797684,0.617250672,1.555478059,2.726833017,-1.539349859,-2.215415026
1,7,0.656094985,Kawhi Leonard,TOR,SG/SF,,60,34.0025,26.6,1.866666667,7.3,3.316666667,1.766666667,0.416666667,0.496014172,18.81666667,0.854460094,7.1,2.033333333,1.955926772,0.443267893,0.440785872,-0.067359301,1.853905602,-0.536700084,0.577972785,1.469337151,-0.232281828
1,8,0.597778077,Kevin Durant,GSW,SF/PF,Off Injury Report - left knee injury management,78,34.63525641,25.98717949,1.756410256,6.346153846,5.858974359,0.756410256,1.076923077,0.521330441,17.73076923,0.885375494,6.487179487,2.871794872,1.847897399,0.332694656,0.089256222,1.087212207,-0.630966692,0.706536544,1.24106664,1.931292563,-1.22498685
1,9,0.575964707,Kyrie Irving,BOS,PG/SG,Off Injury Report - left adductor tightness,67,33.04502488,23.82089552,2.597014925,5.014925373,6.940298507,1.552238806,0.507462687,0.486704271,18.52238806,0.873469388,3.656716418,2.567164179,1.466020006,1.175714835,-0.401353586,1.578288112,1.326489151,-0.365734781,0.30249482,0.966080065,-0.864316259
1,10,0.568531349,Joel Embiid,PHI,PF/C,,64,33.66145833,27.515625,1.234375,13.59375,3.65625,0.71875,1.90625,0.483736447,18.734375,0.80431433,10.140625,3.546875,2.1173352,-0.190840688,2.760279139,0.086860128,-0.723597559,2.268126239,0.21956482,0.603309662,-2.024254799
