Round,Rank,Value,Name,Team,Pos,Inj,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
1,1,0.983092209,Nikola Jokic,DEN,PF/C,,74,33.45563063,27.08108108,1.310810811,13.74324324,7.891891892,1.459459459,0.878378378,0.582761251,17.71621622,0.80982906,6.324324324,3.783783784,1.856432684,-0.339795185,3.0818725,1.884381995,1.201358382,0.401359961,2.601876894,0.23345997,-2.073117317
1,2,0.778895361,Kevin Durant,BKN,SF/PF,Probable - left knee injury management,55,37.22606061,29.87272727,2.090909091,7.381818182,6.381818182,0.872727273,0.945454545,0.518850987,20.25454545,0.909535452,7.436363636,3.472727273,2.325816462,0.447019962,0.584179805,1.221023891,-0.341018922,0.537178259,1.217458505,2.760631653,-1.74223137
1,3,0.722112105,Joel Embiid,PHI,PF/C,,68,33.77401961,30.57352941,1.367647059,11.69117647,4.205882353,1.117647059,1.470588235,0.499250375,19.61764706,0.814445828,11.80882353,3.147058824,2.443648427,-0.282469561,2.276167467,0.265160174,0.302816082,1.600488329,0.658869798,0.630130226,-1.395801994
1,4,0.675942653,LeBron James,LAL,PG/SG/SF,Probable - ankle,56,37.2202381,30.26785714,2.875,8.232142857,6.232142857,1.303571429,1.053571429,0.524160524,21.80357143,0.755952381,6,3.5,2.392253087,1.237862117,0.918043634,1.155273233,0.791566374,0.756097313,1.465708017,-0.862077197,-1.771242697
1,5,0.64525007,Kyrie Irving,BKN,PG/SG,Probable - left adductor tightness,29,37.63505747,27.44827586,3.448275862,4.344827586,5.75862069,1.413793103,0.586206897,0.469155844,21.24137931,0.914728682,4.448275862,2.517241379,1.91817234,1.816074047,-0.608236855,0.947260362,1.081312554,-0.190239635,-0.15462799,1.72337034,-0.725834532
1,6,0.551624081,Stephen Curry,GSW,PG/SG,,64,34.55026042,25.46875,4.453125,5.234375,6.3125,1.3125,0.34375,0.437448896,19.109375,0.922818792,4.65625,3.234375,1.585337423,2.829575221,-0.258972963,1.190573206,0.815037434,-0.681175305,-0.957831084,1.930757254,-1.48868446
1,7,0.532338892,Dejounte Murray,SAS,PG/SG,Injured - ankle (0g) - 12/23/2022,68,34.79387255,21.14705882,1.411764706,8.294117647,9.220588235,2.029411765,0.338235294,0.461724416,18.25,0.793522267,3.632352941,2.647058824,0.858693861,-0.237972049,0.942376858,2.468063098,2.699625427,-0.692341685,-0.31345029,-0.070017531,-0.863927664
1,8,0.517391072,Karl-Anthony Towns,MIN,PF/C,Injured - calf strain (0g) - 1/13/2023,74,33.45540541,24.56756757,2.027027027,9.851351351,3.635135135,0.986486486,1.121621622,0.529266282,16.39189189,0.822269807,6.310810811,3.054054054,1.433813775,0.382587856,1.553795087,0.014437451,-0.041973406,0.893887854,1.220904232,0.495935096,-1.296868295
1,9,0.487911792,Anthony Davis,LAL,PF/C,Probable - back,40,35.05041667,23.175,0.325,9.85,3.05,1.25,2.25,0.532374101,17.375,0.713114754,6.1,2.05,1.199669266,-1.334094107,1.553264505,-0.242605719,0.650740019,3.178670026,1.365945386,-1.751576108,-0.228807141
1,10,0.449253402,Giannis Antetokounmpo,MIL,PF/C,,67,32.90074627,29.88059701,1.059701493,11.6119403,5.791044776,1.074626866,1.358208955,0.553858521,18.56716418,0.721932115,11.43283582,3.268656716,2.327139671,-0.593066626,2.24505689,0.961503892,0.189726377,1.372938616,1.998631645,-2.933498255,-1.52515159
