Round,Rank,Value,Name,Team,Pos,Inj,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
1,1,1.009519441,James Harden,HOU,PG/SG,,68,36.50784314,34.33823529,4.397058824,6.558823529,7.529411765,1.838235294,0.882352941,0.443857332,22.26470588,0.865,11.76470588,4.529411765,3.122533237,2.733821533,0.194940866,1.886709879,2.339472916,0.351012325,-1.091491923,2.465250064,-2.916573927
1,2,0.911156309,Anthony Davis,LAL,PF/C,,62,34.37715054,26.09677419,1.161290323,9.290322581,3.225806452,1.467741935,2.306451613,0.502737226,17.67741935,0.845714286,8.467741935,2.451612903,1.727581633,-0.407535814,1.233875113,-0.076971212,1.337808287,2.954283265,0.737313072,1.302746119,-0.608693685
1,3,0.730725626,Damian Lillard,POR,PG,,67,37.59154229,29.98507463,4.104477612,4.268656716,8.059701493,1.059701493,0.328358209,0.461876833,20.35820896,0.890977444,7.940298507,2.895522388,2.38571626,2.449777066,-0.676131277,2.128674426,0.234631483,-0.661697269,-0.432848489,2.250167134,-1.101758701
1,4,0.721148312,Kawhi Leonard,LAC,SG/SF,,57,32.4248538,27.07017544,2.157894737,7.052631579,4.912280702,1.807017544,0.578947368,0.469549868,19.87719298,0.885572139,7.052631579,2.614035088,1.892339752,0.559990323,0.38276231,0.692545822,2.255072709,-0.203617018,-0.187533034,1.887875344,-0.789101402
1,5,0.678813668,Karl-Anthony Towns,MIN,C,Injured - calf strain (0g) - 1/13/2023,35,33.91380952,26.45714286,3.257142857,10.8,4.371428571,0.942857143,1.2,0.508038585,17.77142857,0.796460177,6.457142857,3.142857143,1.788577716,1.627165295,1.808085664,0.445761783,-0.081268517,0.93167529,0.886634993,0.079172424,-1.376481632
1,6,0.670476627,Kyrie Irving,BKN,PG/SG,Off Injury Report - left adductor tightness,20,32.89833333,27.4,2.8,5.15,6.4,1.35,0.5,0.478365385,20.8,0.921568627,5.1,2.6,1.948165933,1.183360656,-0.34090959,1.371373465,1.019481576,-0.347933837,0.087081588,1.887182018,-0.773512164
1,7,0.578817674,John Collins,ATL,PF/C,Injured - ankle (0g) - 12/23/2022,41,33.24715447,21.58536585,1.43902439,10.14634146,1.463414634,0.756097561,1.609756098,0.583471074,14.75609756,0.8,3.658536585,1.829268293,0.963979618,-0.137905291,1.559464585,-0.881128479,-0.58619111,1.680714779,2.451912037,0.075947773,0.082565155
1,8,0.573679888,Jusuf Nurkic,POR,C,,9,32.64259259,18.11111111,0.444444444,11.44444444,4.222222222,1.444444444,2,0.504065041,13.66666667,0.795454545,4.888888889,2.666666667,0.37592646,-1.103466028,2.053202133,0.377680798,1.274821266,2.394085721,0.595932628,0.042497057,-0.847561046
1,9,0.445991598,Hassan Whiteside,POR,C,,68,29.73897059,15.35294118,0.058823529,13.36764706,1.147058824,0.397058824,2.882352941,0.618644068,10.41176471,0.686192469,3.514705882,1.764705882,-0.090922018,-1.477835546,2.78469829,-1.025477665,-1.556887063,4.007038402,2.292327137,-1.073293921,0.15427677
1,10,0.420357719,Nikola Jokic,DEN,PF/C,,73,31.9956621,19.94520548,1.095890411,9.739726027,7.01369863,1.164383562,0.602739726,0.527544351,14.67123288,0.817275748,4.123287671,3.082191781,0.686365696,-0.471027529,1.404807126,1.651396448,0.517649582,-0.160124278,1.171864817,0.291386206,-1.309098599
