Round,Rank,Value,Name,Team,Pos,Inj,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
1,1,1.005990947,Kevin Durant,GSW,SF/PF,Off Injury Report - left knee injury management,62,33.39301075,25.08064516,1.887096774,8.274193548,4.838709677,1.064516129,1.596774194,0.537037037,16.5483871,0.875,6.193548387,2.225806452,1.746626312,0.630818677,0.989370387,0.808249643,0.148306258,1.823754848,2.022300795,1.419112956,-0.534621355
1,2,0.863448349,Anthony Davis,NOR,PF/C,,75,36.10244444,27.98666667,0.533333333,11.78666667,2.093333333,1.253333333,2.226666667,0.504587156,20.34666667,0.802163833,8.626666667,2.413333333,2.24531845,-0.856959167,2.327367162,-0.432406151,0.630216842,3.029725398,1.27590571,0.300227822,-0.748360925
1,3,0.777824551,Stephen Curry,GSW,PG/SG,,79,33.39978903,25.30379747,4.101265823,4.46835443,6.632911392,1.797468354,0.215189873,0.467775468,18.26582278,0.897790055,4.582278481,3.025316456,1.784920695,3.064177087,-0.460377496,1.619062616,2.018990853,-0.82137916,-0.08704537,1.327959378,-1.445887641
1,4,0.76364462,Kawhi Leonard,SAS,SG/SF,,74,33.43918919,25.51351351,1.986486486,5.810810811,3.513513514,1.797297297,0.743243243,0.484756098,17.72972973,0.879924953,7.202702703,2.081081081,1.820909329,0.740047371,0.05100074,0.209383735,2.01855427,0.189613732,0.467423467,1.745535073,-0.369666132
1,5,0.729864118,Giannis Antetokounmpo,MIL,PG/SG/SF/PF,,80,35.563125,22.9,0.6125,8.75,5.425,1.6375,1.8875,0.521048451,15.7375,0.769607843,7.65,2.925,1.37241346,-0.769955479,1.170618037,1.073198559,1.610710032,2.380368517,1.462011638,-0.399038846,-1.331548854
1,6,0.708513896,Karl-Anthony Towns,MIN,C,Injured - calf strain (0g) - 1/13/2023,82,36.95528455,25.13414634,1.231707317,12.2804878,2.682926829,0.682926829,1.256097561,0.541891892,18.04878049,0.831775701,5.219512195,2.585365854,1.755807462,-0.089450377,2.515477097,-0.165964507,-0.825608822,1.171507039,2.366180883,0.593116607,-0.944440318
1,7,0.683901056,James Harden,HOU,PG/SG/SF,,81,36.37921811,29.08641975,3.234567901,8.135802469,11.19753086,1.49382716,0.469135802,0.439660796,18.92592593,0.84676504,10.87654321,5.728395062,2.434043212,2.111681306,0.936653452,3.681847781,1.2440196,-0.335182984,-1.06562513,1.674477456,-4.526805193
1,8,0.651925015,Chris Paul,LAC,PG,,61,31.48852459,18.09836066,2.032786885,4.983606557,9.229508197,1.950819672,0.131147541,0.476433121,12.86885246,0.892307692,4.262295082,2.409836066,0.548421007,0.790931229,-0.264103913,2.792483839,2.410383276,-0.98228373,0.143238506,1.172629727,-0.744374806
1,9,0.645550085,Russell Westbrook,OKC,PG,,81,34.58930041,31.58024691,2.469135802,10.66666667,10.37037037,1.62962963,0.382716049,0.424523442,23.96296296,0.845238095,10.37037037,5.407407407,2.862000126,1.270476053,1.900728626,3.30804786,1.590622801,-0.500639282,-2.014469567,1.554133722,-4.160949573
1,10,0.609945442,Jimmy Butler,CHI,SG/SF,Playing - right knee injury management,76,36.96008772,23.89473684,1.197368421,6.184210526,5.486842105,1.881578947,0.421052632,0.455271565,16.47368421,0.865384615,8.894736842,2.092105263,1.543116753,-0.127188617,0.193238872,1.101145462,2.233662949,-0.427241375,-0.455990304,1.810996526,-0.382231285
1,11,0.540027367,Isaiah Thomas,BOS,PG,,76,33.80877193,28.93421053,3.223684211,2.697368421,5.894736842,0.921052632,0.171052632,0.463000679,19.38157895,0.909090909,8.539473684,2.763157895,2.407923121,2.099720196,-1.134994351,1.285476098,-0.217849878,-0.905882811,-0.262072582,2.735010811,-1.147084303
1,12,0.485310381,Kyle Lowry,TOR,PG,,60,37.40027778,22.4,3.216666667,4.766666667,6.95,1.466666667,0.316666667,0.464052288,15.3,0.819178082,6.083333333,2.883333333,1.286610217,2.092007958,-0.346742232,1.762357293,1.17469896,-0.627095168,-0.177153298,0.487167681,-1.284057981
2,13,0.47557482,LeBron James,CLE,SF/PF,,74,37.76463964,26.40540541,1.675675676,8.635135135,8.72972973,1.243243243,0.594594595,0.547619048,18.16216216,0.674199623,7.175675676,4.094594595,1.973963762,0.398468167,1.126862878,2.566630269,0.60446431,-0.094983878,2.571714249,-2.202315862,-2.664630514
2,14,0.4689085,DeMarcus Cousins,NOR,PF/C,,72,34.24212963,26.97222222,1.819444444,11.02777778,4.611111111,1.388888889,1.291666667,0.451815642,19.88888889,0.771641791,9.305555556,3.736111111,2.071233204,0.556469175,2.038285694,0.705396175,0.976189855,1.23960643,-0.676752593,-0.434213578,-2.256037862
2,15,0.463303065,Paul George,IND,SF/PF,,75,35.85844444,23.66666667,2.6,6.56,3.346666667,1.586666667,0.36,0.461766889,17.96,0.898395722,4.986666667,2.92,1.503978432,1.414295016,0.336387328,0.133984416,1.480970152,-0.544130652,-0.283388217,1.453481062,-1.325849949
2,16,0.431902146,Damian Lillard,POR,PG,,75,35.908,26.98666667,2.853333333,4.906666667,5.866666667,0.906666667,0.266666667,0.44422043,19.84,0.895412844,7.266666667,2.626666667,2.073711964,1.692706819,-0.293412415,1.272790979,-0.2545666,-0.722823455,-0.951316663,2.061542881,-0.991514199
2,17,0.416903175,Kyrie Irving,CLE,PG/SG,Off Injury Report - left adductor tightness,72,35.06435185,25.22222222,2.458333333,3.194444444,5.805555556,1.152777778,0.333333333,0.472535211,19.72222222,0.905487805,4.555555556,2.5,1.770921854,1.258604205,-0.945644541,1.245174418,0.373572927,-0.595185739,0.078004684,1.413822712,-0.847141943
2,18,0.410306976,Nikola Jokic,DEN,PF/C,,73,27.91369863,16.7260274,0.616438356,9.835616438,4.917808219,0.835616438,0.753424658,0.578454333,11.69863014,0.824561404,3.123287671,2.342465753,0.31291972,-0.765627249,1.584158936,0.843994857,-0.435905251,0.209106719,2.318153309,0.293549151,-0.667587407
2,19,0.397011221,Rudy Gobert,UTA,C,,81,33.87386831,14.03703704,0,12.77777778,1.197530864,0.604938272,2.641975309,0.6608,7.716049383,0.653361345,5.87654321,1.814814815,-0.148528466,-1.443089279,2.704908406,-0.837225885,-1.024655892,3.824861096,2.694092056,-2.131080134,-0.066180909
2,20,0.386314189,John Wall,WAS,PG,,78,36.35299145,23.14102564,1.141025641,4.179487179,10.65384615,2.012820513,0.628205128,0.45087108,18.3974359,0.800759013,6.756410256,4.128205128,1.413775023,-0.189108992,-0.570414907,3.436152655,2.568625537,-0.030634302,-0.657774696,0.209146542,-2.702939161
2,21,0.380120569,Draymond Green,GSW,SF/PF,Probable - left ankle sprain,76,32.51030702,10.21052632,1.065789474,7.881578947,7.013157895,2.026315789,1.394736842,0.418461538,8.552631579,0.708920188,2.802631579,2.421052632,-0.805182522,-0.271793085,0.839812781,1.790898811,2.603068991,1.436941057,-0.813305439,-0.602196238,-0.757159235
2,22,0.356400502,Otto Porter,WAS,SF,Injured - right ankle aprain left foot second toe dislocation (0g) - 12/27/2022,80,32.56395833,13.4375,1.85,6.425,1.5125,1.45,0.525,0.515566625,10.0375,0.831932773,1.4875,0.55,-0.251412909,0.590049546,0.284962148,-0.694889013,1.132161295,-0.228227305,0.832021789,0.167508019,1.375430946
2,23,0.347693238,Mike Conley,MEM,PG,Off Injury Report,69,33.21497585,20.50724638,2.47826087,3.492753623,6.275362319,1.333333333,0.275362319,0.459861249,14.62318841,0.858695652,5.333333333,2.260869565,0.96180142,1.280504447,-0.832010442,1.457483555,0.834397636,-0.706175057,-0.281612292,0.989435497,-0.574585624
2,24,0.327536067,Myles Turner,IND,PF/C,,81,31.37037037,14.48148148,0.49382716,7.271604938,1.308641975,0.913580247,2.12345679,0.510344828,10.74074074,0.808580858,3.740740741,1.296296296,-0.072258916,-0.900376212,0.607457051,-0.787013956,-0.236921346,2.832123304,0.787424067,0.192573985,0.52481663
3,25,0.324296355,Hassan Whiteside,MIA,C,,77,32.64090909,17,0,14.12987013,0.74025974,0.74025974,2.090909091,0.557040082,12.63636364,0.62849162,4.649350649,2,0.359935195,-1.443089279,3.219957246,-1.043870075,-0.67928033,2.769808594,2.007843483,-1.995386185,-0.277251458
3,26,0.287592152,Kemba Walker,CHA,PG,,79,34.67489451,23.16455696,3.037974684,3.898734177,5.493670886,1.075949367,0.278481013,0.443448276,18.35443038,0.846796657,4.544303797,2.126582278,1.41781315,1.895626548,-0.67736138,1.104231438,0.177486853,-0.700204113,-0.905980581,0.698244981,-0.42152753
3,27,0.284818447,Marc Gasol,MEM,C,,74,34.20315315,19.54054054,1.405405405,6.27027027,4.567567568,0.905405405,1.337837838,0.45862069,15.67567568,0.837349398,4.486486486,2.243243243,0.795908429,0.101442772,0.226021375,0.685718527,-0.257785667,1.328004173,-0.337609242,0.576161138,-0.554495478
3,28,0.278145233,C.J. McCollum,POR,PG/SG,,80,34.94541667,22.9625,2.3125,3.6125,3.5625,0.9,0.525,0.480222068,18.0125,0.911564626,3.675,2.15,1.383138865,1.098334253,-0.786395782,0.231521089,-0.271581666,-0.228227305,0.325151488,1.199584761,-0.448218604
3,29,0.256085107,Bradley Beal,WAS,SG,Injured - hamstring strain (0g) - 12/14/2022,77,34.85779221,23.1038961,2.896103896,3.116883117,3.467532468,1.077922078,0.272727273,0.481845688,17.16883117,0.824561404,4.441558442,2.025974026,1.407403354,1.739711409,-0.975189766,0.188604561,0.182521724,-0.711220026,0.361073658,0.41871721,-0.306856159
3,30,0.250836664,Klay Thompson,GSW,SG/SF,,78,33.96260684,22.33333333,3.435897436,3.653846154,2.051282051,0.846153846,0.512820513,0.468023256,17.64102564,0.853211009,2.794871795,1.641025641,1.275169785,2.332941249,-0.770645905,-0.451409435,-0.409011047,-0.251545734,-0.076016742,0.476147125,0.131900684
3,31,0.245655274,Kevin Love,CLE,PF/C,Questionable - low back soreness,60,31.41027778,19.03333333,2.416666667,11.1,1.933333333,0.883333333,0.35,0.426758939,14.45,0.871186441,4.916666667,2.033333333,0.708868383,1.21281279,2.065797107,-0.504711329,-0.314119332,-0.56327631,-1.155094903,1.07586522,-0.315244157
3,32,0.229025888,Gordon Hayward,UTA,SG/SF,Injured - left shoulder contusion (0g) - 1/6/2023,73,34.45936073,21.93150685,2.04109589,5.397260274,3.452054795,1,0.273972603,0.471453287,15.83561644,0.843822844,5.876712329,1.917808219,1.206213754,0.800062776,-0.106531934,0.181610087,-0.016355673,-0.70883576,0.031445902,0.85719467,-0.183570831
