Round,Rank,Value,Name,Team,Pos,Inj,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
1,1,1.063484104,Kevin Durant,OKC,SF/PF,Off Injury Report - left knee injury management,81,38.53971193,32.01234568,2.37037037,7.382716049,5.49382716,1.271604938,0.728395062,0.502962085,20.83950617,0.873291925,9.938271605,3.518518519,3.645806721,1.533488851,0.679322919,1.108255385,0.585016044,0.165197696,1.35001933,2.672793384,-2.168543393
1,2,0.855654709,Anthony Davis,NOR,PF/C,,67,35.18955224,20.80597015,0.029850746,10.04477612,1.567164179,1.328358209,2.820895522,0.519402985,15,0.790909091,6.567164179,1.626865672,1.314031581,-1.226630718,1.685717002,-0.706193599,0.715245289,3.944329668,1.40338147,0.248203459,0.322808225
1,3,0.794080776,Chris Paul,LAC,PG,,62,35.01693548,19.11290323,1.258064516,4.322580645,10.69354839,2.483870968,0.064516129,0.466666667,14.03225806,0.855072464,5.564516129,2.338709677,0.961745389,0.221772802,-0.477563884,3.510964489,3.366749813,-1.033791813,0.003797645,1.207759742,-0.614707196
1,4,0.699382363,Stephen Curry,GSW,PG/SG,,78,36.48547009,24.01282051,3.346153846,4.282051282,8.538461538,1.641025641,0.179487179,0.471438901,17.73076923,0.885057471,4.461538462,3.769230769,1.981299417,2.684207281,-0.492886044,2.515132873,1.432709553,-0.826149913,0.158378966,1.340486501,-2.498737368
1,5,0.697496852,LeBron James,MIA,SF/PF,,77,37.68658009,27.12987013,1.506493506,6.922077922,6.337662338,1.571428571,0.337662338,0.566888396,17.57142857,0.75042735,7.597402597,3.506493506,2.629881895,0.514739248,0.505178281,1.498178301,1.273008205,-0.540479822,3.121454716,-0.571782986,-2.152706168
1,6,0.69116347,Kevin Love,MIN,PF/C,Questionable - low back soreness,77,36.31839827,26.1038961,2.467532468,12.50649351,4.428571429,0.766233766,0.454545455,0.457102672,18.46753247,0.821484992,8.220779221,2.545454545,2.416401567,1.64806982,2.616371362,0.616017525,-0.574637053,-0.329384659,-0.302395152,1.017022906,-0.886995086
1,7,0.607866472,Carmelo Anthony,NYK,SF/PF,,77,38.72424242,27.42857143,2.168831169,8.077922078,3.142857143,1.246753247,0.662337662,0.452221546,21.33766234,0.848428835,7.025974026,2.571428571,2.692034396,1.295818426,0.942146152,0.021909248,0.527989956,0.045895629,-0.53112783,1.397335766,-0.921203494
1,8,0.600675866,James Harden,HOU,SG/SF,,73,38.04771689,25.35616438,2.424657534,4.712328767,6.109589041,1.575342466,0.397260274,0.45560166,16.50684932,0.866165414,9.109589041,3.630136986,2.260816718,1.597508422,-0.330219274,1.39278923,1.281989247,-0.43284378,-0.315702614,2.267292406,-2.31554756
1,9,0.539261629,Dirk Nowitzki,DAL,PF/C,,80,32.851875,21.6875,1.6375,6.225,2.7,0.9125,0.5625,0.497250589,15.9125,0.89893617,4.7,1.4625,1.497456577,0.669232115,0.241647378,-0.182728047,-0.239006332,-0.134414822,0.866591261,1.595294823,0.539281709
1,10,0.438429318,Serge Ibaka,OKC,PF/C,,81,32.91296296,15.14814815,0.283950617,8.75308642,1.049382716,0.481481481,2.703703704,0.535787321,12.07407407,0.783919598,2.456790123,1.518518519,0.13677595,-0.926976735,1.197392608,-0.94545224,-1.228045651,3.732676979,1.476348393,0.037640564,0.465503993
1,11,0.42454299,Paul George,IND,SG/SF,,80,36.22895833,21.7125,2.275,6.775,3.5375,1.8875,0.275,0.423641703,17.025,0.864224138,5.8,2.8,1.502658471,1.421020823,0.449575347,0.204267483,1.99828347,-0.653650283,-1.286932901,1.407901975,-1.222237481
1,12,0.385472145,Brook Lopez,BKN,C,,17,31.37745098,20.70588235,0,6,0.941176471,0.529411765,1.764705882,0.563318777,13.47058824,0.817391304,6.764705882,1.647058824,1.293205736,-1.261832998,0.156585936,-0.995452638,-1.118062129,2.036812746,2.304417514,0.757361776,0.296213366
2,13,0.372005128,LaMarcus Aldridge,POR,PF/C,,69,36.21594203,23.23188406,0.043478261,11.08695652,2.579710145,0.927536232,0.985507246,0.458186929,20.62318841,0.822222222,5.217391304,1.782608696,1.818805469,-1.210560111,2.079714193,-0.238312091,-0.204503349,0.629551657,-0.29639042,0.65204983,0.117690973
2,14,0.369584686,Al Horford,ATL,PF/C,Out,29,33.02528736,18.55172414,0.137931034,8.413793103,2.620689655,0.931034483,1.517241379,0.566666667,14.48275862,0.682352941,2.931034483,2.206896552,0.844977622,-1.099174184,1.06912248,-0.219376106,-0.196476066,1.589882849,2.564419881,-0.786008118,-0.441106187
2,15,0.351206659,Kawhi Leonard,SAS,SG/SF,,66,29.13055556,12.78787879,1.045454545,6.227272727,2.015151515,1.727272727,0.757575758,0.52248062,9.772727273,0.801587302,1.909090909,1.212121212,-0.354338898,-0.02895312,0.242506584,-0.499185722,1.630616964,0.217899094,0.962184603,0.121093924,0.869036505
2,16,0.348303832,Al Jefferson,CHA,PF/C,,73,35.02374429,21.83561644,0.04109589,10.84931507,2.123287671,0.917808219,1.082191781,0.50872093,18.84931507,0.689530686,3.794520548,1.698630137,1.528276018,-1.213369585,1.989873639,-0.449217711,-0.226825794,0.804167444,1.411514068,-0.937976315,0.228292724
